Name,Date,TimeStep,Site,Module,Side,A1,A2,Row,Column,Label
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,304,2836,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1094,3530,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,794,2289,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,503,3092,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,288,2889,CCA
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,929,2438,MA
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,555,2420,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,985,3366,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,341,2589,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1142,2856,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,380,2346,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,1014,3159,B
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,2088,2124,T
H_09_N 17_04_11.jpg,4/11/17,1,HAN,9,N,,,2952,2044,T
